mora_60,dias_atraso_12_meses_antes,situacion_casa,edad,fecha_ingreso_empleo,antiguedad_tc_meses,producto_pasivo_12_meses_antes,ingreso_mensual,monto_linea_tc,monto_saldo_deudor_prom,score_aprob_tc,nro_veces_abono_12m_antes,zona_geografica,riesgos_sbs,nivel_educativo,edad_binned
0,0,FAMILIAR,29,2003-11-01,14,1,1500.0,10485.64,502.97,165,2,Lima,0,PROFESIONAL,joven
0,2,FAMILIAR,25,2004-03-01,16,12,1053.18,2400.0,1200.0,169,12,Callao,0,TECNICO,joven
0,21,FAMILIAR,23,2006-11-01,17,12,2100.0,2113.17,3.96,206,10,Lima,1,TECNICO,joven
0,2,FAMILIAR,23,2005-04-01,0,12,2300.0,1573.6,0.0,181,12,Lima,0,PROFESIONAL,joven
0,1,PROPIA,24,2007-01-01,20,12,2100.0,2080.0,2426.15,228,0,Lima,2,SUPERIOR,joven
0,0,FAMILIAR,28,2006-06-01,6,12,1400.0,2500.0,1810.82,185,1,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,29,2006-06-01,15,12,4200.0,186.22,1075.17,200,12,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,26,2008-02-21,0,12,703.53,0.0,2495.79,167,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,24,2006-09-01,0,12,1200.0,0.0,3789.55,156,12,Lima,0,TECNICO,joven
0,1,PROPIA,39,2007-02-05,0,12,880.0,0.0,197.03,215,11,Lima,0,TECNICO,joven
0,0,PROPIA,32,1999-01-01,0,8,5000.0,242.23,9481.83,162,0,Lambayeque,0,TECNICO,joven
0,0,FAMILIAR,37,2006-04-01,0,12,3500.0,2924.86,0.0,202,12,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,21,2007-07-01,9,11,2100.0,2176.56,771.21,207,4,Lima,2,SUPERIOR,joven
0,0,FAMILIAR,25,2008-07-06,0,12,2500.0,0.0,0.0,186,7,Junin,0,TECNICO,joven
0,0,FAMILIAR,41,2005-09-01,104,12,3350.0,14223.57,3459.13,190,12,La Libertad,1,TECNICO,joven
0,0,ALQUILADA,29,2004-03-01,0,0,1860.0,0.0,13201.17,167,0,La Libertad,0,TECNICO,joven
0,2,FAMILIAR,44,2004-07-01,2,12,3476.0,0.0,24592.29,205,12,Ancash,4,PROFESIONAL,adulto
0,3,FAMILIAR,25,2002-01-01,0,11,6000.0,520.73,0.0,205,0,Lambayeque,1,TECNICO,joven
0,0,FAMILIAR,29,2009-01-01,0,12,694.41,886.68,1556.01,194,9,Lima,1,TECNICO,joven
0,2,FAMILIAR,21,2007-10-15,0,12,1504.31,0.0,0.0,161,12,Lima,0,TECNICO,joven
0,2,FAMILIAR,28,2005-09-20,0,12,1812.8,0.0,7697.47,177,12,La Libertad,0,TECNICO,joven
0,2,FAMILIAR,26,2004-06-26,0,12,964.62,0.0,284.36,169,12,Tumbes,0,EDUCACION BASICA,joven
0,6,FAMILIAR,34,1990-01-01,33,1,5039.0,461.21,19539.22,206,0,Piura,1,TECNICO,joven
0,0,FAMILIAR,32,2000-03-01,15,0,4500.0,14940.16,60.3,163,0,Lima,0,EDUCACION BASICA,joven
0,0,FAMILIAR,29,2003-03-01,24,0,3224.86,567.63,678.86,180,0,Apurimac,0,PROFESIONAL,joven
0,23,FAMILIAR,35,2001-09-01,0,12,1800.0,0.0,3942.86,204,12,Piura,1,PROFESIONAL,joven
0,0,PROPIA,47,2005-03-01,0,12,3800.0,1790.97,1943.62,214,12,Lambayeque,0,EDUCACION BASICA,adulto
0,0,FAMILIAR,29,2003-01-01,0,12,3200.0,5889.34,0.0,216,12,Lima,1,PROFESIONAL,joven
0,0,FAMILIAR,30,2008-04-01,0,12,8239.0,0.0,23303.9,185,12,Cajamarca,0,TECNICO,joven
0,0,FAMILIAR,36,2006-04-05,10,12,3150.0,1700.0,1637.81,197,0,Lima,4,PROFESIONAL,joven
0,1,FAMILIAR,28,2000-01-01,9,11,2200.0,1107.42,1175.88,209,0,Lima,0,PROFESIONAL,joven
0,1,FAMILIAR,55,2007-02-01,8,12,3686.3,8925.0,2764.72,211,11,Lima,2,TECNICO,adulto
0,1,FAMILIAR,26,2006-06-01,7,12,2278.38,1600.0,5458.23,206,11,Lima,0,PROFESIONAL,joven
0,0,PROPIA,32,2005-01-01,9,12,3000.0,2107.77,3735.74,230,12,Moquegua,0,TECNICO,joven
0,1,FAMILIAR,32,2006-03-01,0,12,1000.0,460.0,3951.23,194,12,Lima,0,TECNICO,joven
0,20,PROPIA,26,2004-10-01,38,12,2166.26,5338.84,0.0,191,12,Lima,1,TECNICO,joven
0,0,FAMILIAR,24,2007-04-01,10,10,827.67,2800.0,1215.48,156,11,La Libertad,0,TECNICO,joven
0,2,PROPIA,56,1999-03-01,0,12,2690.0,0.0,0.0,228,12,Junin,0,TECNICO,adulto
0,0,FAMILIAR,25,2006-07-01,11,12,2100.0,1500.0,1415.81,189,0,Callao,0,SUPERIOR,joven
0,0,FAMILIAR,41,2002-11-01,8,12,990.0,179.05,637.72,198,10,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,48,1997-03-01,92,0,4000.0,11652.79,4929.23,202,0,Lima,0,TECNICO,adulto
0,13,FAMILIAR,41,2006-06-01,0,12,1632.87,0.0,1543.45,182,11,Lima,0,TECNICO,joven
0,1,FAMILIAR,32,2005-11-26,9,12,964.17,2258.74,761.47,178,12,Lima,1,TECNICO,joven
0,0,FAMILIAR,34,2006-01-02,0,12,968.0,0.0,1241.07,170,9,Cuzco,0,TECNICO,joven
0,0,PROPIA,29,2002-07-01,46,2,6814.0,18752.45,0.0,214,0,Lima,0,PROFESIONAL,joven
0,25,FAMILIAR,24,2004-10-01,41,12,2200.0,1423.15,552.96,200,12,Lima,2,TECNICO,joven
0,0,FAMILIAR,24,2006-06-01,10,9,2100.0,410.12,408.67,176,3,Lambayeque,0,SUPERIOR,joven
0,0,FAMILIAR,26,2008-03-01,5,11,1495.09,0.0,16688.92,174,11,La Libertad,0,TECNICO,joven
0,1,FAMILIAR,31,2005-11-01,0,12,1000.0,0.0,1365.2,194,12,Callao,0,TECNICO,joven
0,0,PROPIA,43,2000-01-01,41,12,8750.0,5817.84,4955.85,224,0,Junin,0,PROFESIONAL,adulto
0,25,FAMILIAR,32,1997-01-01,45,0,13000.0,730.92,0.0,199,0,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,25,2006-10-02,0,12,1424.68,0.0,6462.92,171,10,Arequipa,0,TECNICO,joven
0,0,FAMILIAR,31,2007-01-01,13,0,2100.0,1430.11,0.0,192,0,Lima,0,TECNICO,joven
0,0,FAMILIAR,34,1996-08-01,8,8,1500.0,3754.0,355.82,188,0,Lambayeque,1,PROFESIONAL,joven
0,9,FAMILIAR,42,2000-01-01,25,0,8000.0,10769.97,0.0,180,0,Lima,1,PROFESIONAL,adulto
